"","method","sites","weight","minCR","resample","MAE","lci","uci","Corr","mean.resid","MAE_0","MAE_10","MAE_25","mean.resid_0","mean.resid_10","mean.resid_25"
"94","svm","Allsites","none","minCR2","best",6.27,2.77,9,0.72,-3.28,6.23,2.78,17.76,6.24,-3.08,-16.68
"95","svm","Allsites","none","minCR3","best",3.8,1.88,5.82,0.75,-2.34,2.41,3.44,10.54,2.95,-1.52,-11.34
"96","svm","Allsites","none","minCR4","best",3.89,1.71,6.32,0.78,-2.33,3.39,3.08,9.7,3.53,-1.76,-11.56
"97","svm","RFsites","none","minCR2","best",3.53,1.3,5.57,0.82,-1.35,1.76,3.82,8.32,1.96,-0.18,-8.44
"98","svm","RFsites","none","minCR2","ranAge",3.05,1.25,5.97,0.82,0.72,2.49,3.4,4.3,2.96,2.03,-5.21
"99","svm","RFsites","none","minCR2","ranAgeMeth",3.22,1.62,6.67,0.79,0.69,1.88,3.41,5.61,3.1,2.22,-5.95
"100","svm","RFsites","none","minCR3","best",3.39,1.48,7.08,0.78,-0.79,2.1,3.57,9.17,1.9,0.82,-7.94
"101","svm","RFsites","none","minCR3","ranAgeMeth",2.92,1.43,7.55,0.77,1.29,2.89,2.75,4.46,2.8,3.45,-5.47
"102","svm","RFsites","none","minCR4","best",2.61,1.05,5.93,0.83,-0.61,1.87,2.34,7.69,1.85,0.89,-7.23
"103","svm","RFsites","none","minCR4","ranAge",3.94,1.35,7.46,0.81,0.38,3.13,2.81,6.62,2.01,2.74,-7.02
"104","svm","RFsites","none","minCR4","ranAgeMeth",3.58,1.71,7.58,0.77,0.32,2.3,3.12,7.6,2.12,2.97,-7.94
"105","svm","glmnet.5","none","minCR2","best",3.73,1.35,6.94,0.79,-0.95,1.24,3.05,9.48,2.08,0.87,-9.08
"106","svm","glmnet.5","none","minCR2","ranAge",3.62,1.4,6.82,0.79,0.99,2.04,3.71,5.45,3.42,2.83,-6.3
"107","svm","glmnet.5","none","minCR3","best",3.88,1.51,7.98,0.75,-0.24,1.48,3.8,8.4,2.18,1.86,-8.12
"108","svm","glmnet.5","none","minCR4","best",3.72,1.07,7.63,0.76,0.03,1.53,3.19,8.16,2.26,2.42,-8.2
